City,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
tuktoyaktuk,69.4541,-22,84,100,7.2
arraial do cabo,-22.9661,24.98,88,0,6.69
ternate,0.8,27.91,78,97,4.27
severo-kurilsk,50.6789,-2.37,77,85,6.95
macusani,-14.0833,4.69,91,97,1.69
tautira,-17.7333,25.01,74,100,8.61
new norfolk,-42.7826,27.4,32,68,0.89
butaritari,3.0707,28.22,71,73,5.31
huntingdon,52.3305,5.15,93,21,2.48
sitka,57.0531,6.94,87,100,5.66
itoman,26.1247,19.08,96,75,7.2
taolanaro,19.7297,25.8,60,20,1.54
hilo,39.1834,-2.17,57,0,0.89
hamilton,-53.15,11.06,76,75,2.57
punta arenas,54.25,6.01,90,87,2.45
monaghan,-23.1203,25.97,74,100,4.98
rikitea,-0.6,27.94,71,71,7.49
tidore,-54.8,8.81,87,75,6.69
hithadhoo,33.194,0.97,87,32,0.3
ushuaia,29.5833,16.26,32,74,3.17
avera,46.0901,0.83,97,11,0.53
tsihombe,51.0239,-6.92,97,100,2.76
tiznit,3.0833,29.18,54,99,3.43
hauterive,-33.0153,22.25,71,0,8.12
krasnoarmeysk,-21.2,30.09,79,20,7.2
bonfim,-9.8,25.96,73,44,8.83
east london,42.8666,-1.35,69,0,3.13
vaini,72.7868,-23.45,65,81,3.05
atuona,-46.2817,16.07,51,56,4.49
sentyabrskiy,66,-22.99,99,19,2.29
casper,-17.7125,24.34,84,9,2.23
upernavik,50.6996,5.1,87,75,2.57
kaitangata,-2.7933,24.26,96,84,0.58
aykhal,22.0752,23.47,77,75,1.34
caravelas,-33.65,30.02,40,5,2.34
port hardy,66.7697,-22.05,98,100,5.99
barreirinha,-33.918,19.16,88,0,6.17
kapaa,42.6001,-10.66,68,75,1
busselton,14.8961,23.06,79,92,1.31
zhigansk,41.7992,-4.09,76,100,3.6
port elizabeth,58.3814,-20.98,100,100,0.67
albany,-26.6481,28.98,47,97,6.89
sao filipe,-34.4187,26,66,41,3.51
sturgis,-21.3393,25.61,89,75,2.06
boguchany,-9.6608,17.78,96,82,0.26
luderitz,-0.7393,23.62,81,94,3.61
hermanus,4.4148,25.08,94,20,0.51
saint-pierre,9.1924,26.02,77,99,2.32
saurimo,-33.9258,26.98,60,0,0.45
buqayq,16.8634,27.9,69,40,1.54
puerto ayora,7.0419,27.28,80,99,10.87
miri,-24.8667,35.04,10,24,6.69
tagusao,55.2999,3.12,60,100,2.06
cape town,59.7035,-7.06,100,92,0.51
acapulco,10.6167,22.03,86,26,0.89
kloulklubed,69.2167,-16.99,60,20,11.32
carnarvon,-16.4708,26.38,65,23,1.32
fevralsk,71.6872,-21.09,94,100,4.13
mackenzie,-37.6167,14.49,70,8,1.57
nikolskoye,27.9167,10.98,71,28,1.49
kampot,38.5917,-5.85,95,100,2.79
ilulissat,31.4044,12.77,63,4,8.8
rondonopolis,37.4966,-1.07,80,0,2.06
tiksi,65.4167,-12.94,93,100,7.84
lebu,62.2266,7.51,86,91,15.33
tezu,5.4112,25.85,88,20,0
cay,-13.8833,31.37,70,100,2.06
rosetta,66.0449,1.95,80,97,3.96
murgab,51.7102,-18.72,92,14,5.03
maniitsoq,35.7333,3.7,74,100,1.87
klaksvik,-34.5322,17.62,88,17,1.03
georgetown,28.017,10.97,46,99,3.07
sola,-21.3585,25.24,82,85,6.31
husavik,19.7667,24.27,94,20,4.12
katangli,41.5388,8.14,64,7,2.51
hasaki,-10.6167,28.33,74,84,2.4
bredasdorp,16.1667,16.41,94,4,2.89
san patricio,62.456,-27,86,100,5.14
saint-philippe,57.79,3.73,93,100,0
sosua,39.4101,-3.7,72,0,0
barcelos,26.326,7.25,32,0,3.67
samarai,50.0334,-16.83,94,21,1.35
gokak,14.1022,18.11,16,3,4.8
yellowknife,32.6667,16.77,78,63,2.15
attawapiskat,-25.4,19.97,76,20,2.53
kodiak,-12.5211,23.45,85,69,2.22
brigantine,-34.5833,24.75,70,76,3.13
buraydah,20.8783,26.15,79,2,3
port-cartier,5.8933,26.95,73,47,3.35
djibo,47.9714,-24.76,96,29,1.89
ponta do sol,-33.5906,22.04,73,0,11.87
taltal,64.8945,1.09,70,100,13.06
chilca,-0.9131,27.03,70,64,0.88
flinders,60.9167,-13.88,69,23,3.59
lahaina,-20.5167,26.21,83,40,3.6
sabang,44.5168,-6.48,80,76,1.79
ayagoz,53.5667,3.27,97,98,3.03
port alfred,37.04,1.05,75,19,2.81
olafsvik,-38.0023,22.17,93,100,0.89
biak,-20.4081,26.16,83,40,3.6
narsaq,37.7167,15.66,70,44,2.5
souillac,42.097,-5.82,36,100,7.2
wasaga beach,-42.8794,27.02,49,0,0.45
neubrandenburg,-46.1927,14.71,43,71,3.28
qarchi gak,40.5982,20.64,46,0,0.45
mar del plata,47.6666,-6.97,84,75,2.57
mahebourg,54.7682,-25.09,70,20,2.06
vila franca do campo,13.4317,20.63,15,28,5.58
jamestown,49.758,-30.81,100,88,1.1
hobart,-24.7,24.49,85,99,6.64
mataura,65.282,-18.98,71,75,3.09
fortuna,71.9667,-9.92,94,100,5.49
torbay,7.9986,20.36,89,87,0.57
flin flon,63.8424,1.26,86,100,10.29
segou,49.4169,-19,78,100,4.63
shirokiy,28.4682,16.76,84,0,2.24
ampanihy,60.3778,-17.67,100,91,0.96
norman wells,49.71,-18.69,90,99,1.28
khatanga,20.7,25.57,73,40,3.6
marawi,45.3167,-5.19,73,27,4.5
grindavik,-24.7911,21.8,68,75,0.67
vaitupu,44.3,-11.29,95,100,1.14
kapuskasing,3.8653,24.08,93,43,0.64
santa cruz de tenerife,7.1,20.85,65,1,0.57
teya,13.2167,17.81,14,1,4.33
shakhtinsk,-38.5473,22.24,95,100,4.33
ixtapa,-1.7625,25.97,91,87,2.06
beyneu,4.6374,21.96,94,20,0
castro,-17.8333,21.98,75,100,8.7
shihezi,58.4308,-15.63,100,94,1.27
illoqqortoormiut,-6.9811,26.37,73,0,4.2
inirida,41.3712,-6.73,73,0,1.54
ondo,-3.8004,24.26,88,100,1.82
gourcy,12.524,26.97,69,20,8.23
necochea,35.9642,-6.09,34,1,2.1
ipixuna,69.3833,-27.98,92,100,7.02
paka,-13.2,23.62,95,100,5.15
teahupoo,17.1561,23.08,94,75,2.06
plyussa,60.7522,4.97,65,41,3.09
cabedelo,45.75,-5.43,80,100,2.57
bethel,63.4427,1.86,100,100,4.12
bengkulu,55.1001,-23.86,70,75,1.03
oranjestad,38.5167,15.3,62,83,5.39
hashtgerd,9.0833,24.63,21,1,2.78
leningradskiy,34.8014,6.38,41,52,1.36
ambilobe,13.2167,23.34,73,20,4.63
barbar,-3.8,22.73,96,99,0.8
san ignacio,44.3876,-9.6,69,0,1.54
haines junction,64.8378,-10.49,81,75,0
orlat,21.3469,26.93,55,75,3.6
vestmannaeyjar,-21.2078,26.03,83,75,9.77
tabiauea,34.4506,4.54,50,0,4.99
la ronge,-35.6167,22.31,65,99,4.53
ribeira grande,61.5598,-16.96,100,92,1.04
bida,30.4833,17.16,54,1,1.77
meadow lake,58.9564,-14.49,94,100,4.01
bathsheba,55.3389,-23.42,100,85,1.92
lahat,15.4853,18.02,97,66,1.56
bar harbor,6.1241,19.19,100,20,0
fairbanks,63.9242,-32.93,99,100,1.06
makakilo city,-22.1333,24.41,92,95,1.79
avarua,47.358,-2.5,67,100,2.63
abu kamal,-4.9408,27,83,95,2.97
ngunguru,-8.9266,19.41,74,98,1.19
krasnoborsk,-20.0064,26.88,83,24,2.68
san quintin,-19.0595,25.94,89,50,3.09
tommot,54.4299,-12.41,97,91,3.13
mishkino,28.0996,13.56,78,20,0.89
chajul,73.5069,-19.85,99,98,3.15
hambantota,77.484,-24.15,85,100,3.66
sangar,42.2506,-6.88,45,100,0.45
manakara,-28.24,26.94,83,1,6.79
kuybysheve,-13.7,21.03,83,0,8.75
candawaga,42.7808,-5.49,89,57,2.59
katobu,45.41,-7.93,56,13,3.8
airai,68.2191,-21,71,75,5.66
grand gaube,60.1432,-12.51,69,23,3.62
alofi,2.5345,20.02,45,90,1.99
sobolevo,6.6221,26.87,69,100,3.68
arona,0.5412,27.35,76,65,1.47
dikson,0.0722,24.98,79,97,5.75
qaanaaq,-45.5752,11.97,58,75,1.54
broome,-16.7,26.99,77,96,7.35
imbituba,-2.5744,29.08,69,78,1.74
bolsheustikinskoye,33.2443,1.11,65,0,0.45
pisco,-15.1961,23.05,89,100,2.49
istok,71.9167,-17.38,98,97,2.07
sarkand,54.7021,-24.09,100,88,0.51
aklavik,-38.2667,30.22,27,97,2.89
nanortalik,65.9811,-16.88,97,86,3.18
moroto,-7.05,25.91,84,100,3.57
kulhudhuffushi,70.8578,-1.85,84,100,19.5
gorontalo,43.7806,8.73,73,0,1.31
jamame,35.0167,1.43,91,100,0.45
coihaique,28.3667,16.51,74,100,10.01
fare,23.25,17.75,86,48,0.72
grand centre,43.4065,12.37,89,2,3.32
kavieng,-3.0091,26.09,84,97,0.9
alabaster,-45.4167,18.56,49,52,0.55
namibe,-33.8667,21.91,66,38,1.66
saskylakh,-21.6403,24.45,86,2,4
zdvinsk,-34.7333,22.2,85,100,1.96
amderma,-22.6667,25.01,85,28,6.02
codrington,7.7669,23.1,78,66,0.62
verkhnyaya inta,-33.3667,25.55,31,3,2.66
kalianget,2.3,25.17,94,40,1.54
berlevag,32.6859,19.03,44,20,5.14
bordighera,-34.0033,21.05,82,0,3.37
kusatsu,54.4333,-26.25,95,7,1.45
warqla,-25.1667,24.82,85,95,7.94
belushya guba,36.6177,16.93,44,0,0.45
naze,22.8909,23.57,51,20,1.79
bankura,45.3246,3.77,79,14,0.66
north bend,67.667,5.45,80,100,14.3
kualakapuas,17.4189,22.45,91,73,1.53
te anau,-30.1811,25.24,86,6,9.03
esperance,64.8989,-20.34,100,56,1.87
sao joao da barra,-2.6741,25.27,91,100,1.63
port lincoln,42.7794,5.62,47,100,8.52
vao,38.0608,5.15,43,0,0.45
san cristobal,-14.2667,24,90,100,1.35
collie,21.3167,13.41,92,87,0.65
sibu,-37.8333,30.95,29,93,7.72
coronado,-29.9533,18.56,69,0,3.72
kruisfontein,55.7435,-26.91,69,0,5.66
bagdarin,13.9297,25.84,55,72,5.51
beloha,37.6775,1.08,61,0,5.14
pacific grove,71.2906,-20.99,77,100,10.8
cabo san lucas,10.3744,18.27,26,4,4.16
la grande,52.5178,-16.18,99,100,0.75
sorland,46.9041,-1.71,52,6,3.29
tabuk,-33.0117,28.03,56,63,1.14
cidreira,22.5667,18.45,58,0,5.81
leshukonskoye,-16.4833,27.06,78,100,6.83
vanimo,-8.2686,23.27,98,55,1.27
ust-kamchatsk,46.6166,0.83,92,46,3.31
vermillion,-7.6142,23.46,98,65,1.14
hutchinson,-5.1347,24.36,92,8,1.27
sambava,64.3833,-17.9,99,96,2.84
son la,33.9674,0.31,78,7,4.7
mount gambier,27.9833,7.7,96,74,0.91
coquimbo,-46.6,14.89,64,59,5.18
samusu,-20.3267,16.79,80,73,4.73
thompson,42.0304,-1.8,76,4,1.89
edd,7.4167,21.36,79,51,1.53
cedar city,22.8067,24.55,82,77,1.87
barrow,55.1919,-13.16,98,90,2.66
bara,-46.1333,14.9,58,70,3.67
orlik,42.4165,11.34,57,0,0
siofok,-20.3428,26.14,83,40,3.6
saryshagan,37.1041,13.2,31,0,2.24
saldanha,38.421,15.87,64,0,0.45
sur,21.4694,27.51,57,0,5.66
faanui,29.5688,11.09,34,100,0.45
karamea,17.6129,17.53,86,93,1.07
babanusah,69.7008,-34.25,93,100,3.48
porto walter,-35.1667,22.58,58,98,3.46
lasa,-28.783,22.33,67,92,2.07
coalcoman,66.8333,-15.13,99,100,0.69
mancio lima,15.1333,22.44,80,99,6.07
itupiranga,49.1489,-9.2,96,25,1.05
provideniya,64.5635,-10.94,98,69,2.71
yabrud,65.6145,-11.91,37,0,10.28
basar,68.3065,-21.22,88,100,5.27
nizhneyansk,46.4333,-3.85,73,94,1.82
bluff,59.4511,-25.81,100,57,1.19
zvishavane,52.6333,-23.29,95,5,2.64
vila,53.0452,-10.67,67,0,4
kalmunai,20.9,16.59,62,0,5.44
sagua la grande,41.7711,-2.31,98,100,1.9
dukhovshchina,-8.8978,26.4,75,56,2.92
tuatapere,70.4692,-23.87,77,100,8.23
jackson,51.6217,-5.22,92,100,5.84
bambous virieux,49.352,2.27,99,100,2.72
saint george,-34.1069,26.95,62,79,2.25
saleaula,-9.0763,27.54,75,100,3.67
chom bung,-10.9833,22.37,99,79,1.09
halalo,40.1254,-7.16,58,0,0.45
laguna,46.5927,0.89,69,0,1.34
makaha,60.5544,1.71,96,100,4.12
grand river south east,31.3203,0.97,75,0,1.03
seguin,2.0371,24.75,79,100,8.63
thoen,-0.1934,22.95,92,84,1.36
pevek,39.9523,-4.91,48,0,0
ahipara,9.6612,25.6,63,89,2.15
richards bay,-23.7,27.75,65,40,4.63
yar-sale,35.1833,1.43,71,100,2.57
vila do maio,24.8,22.15,94,75,6.69
barentsburg,57.5058,3.56,86,100,2.64
kobelyaky,66.9395,-13.41,76,100,8.06
severodvinsk,20.73,17.95,60,88,1.54
tasiilaq,-10.75,22.16,81,9,3.43
kangaatsiaq,39.05,14.57,60,100,1.98
asau,44.7481,-16.52,92,91,1.01
vitim,-7.3,22.3,94,17,1.21
sivaki,12.4086,18.85,14,4,5.66
petropavlovsk-kamchatskiy,70.6333,-27.34,96,100,2.87
miranorte,-34.426,21.84,95,75,6.69
veraval,-31.4707,25.1,42,15,0.67
sinop,-7.6072,27.28,86,100,0.92
sao jose da coroa grande,25.2088,13.91,30,0,7.37
clyde river,64.7507,-0.8,86,100,5.66
rakiv lis,69.4865,-10.44,95,100,4.88
burgthann,23.0833,14.19,81,25,1.01
strand,25.65,14.53,60,92,0.31
daru,-7.3817,24.94,87,95,0.39
riberalta,-26.5333,25.27,74,69,0.45
chester,50.7214,-20.74,91,27,1.03
helena,-7.7136,21.66,99,97,1.33
kenai,42.7762,4.66,77,4,2.38
ahvaz,45.3038,-13.59,84,100,1.47
mogadishu,24.1447,15.34,31,0,4.32
puerto leguizamo,10.1833,23.79,76,11,5.66
skagastrond,56.1481,-24.88,92,7,0.81
filadelfia,-16.1,25.08,96,100,1.32
san carlos,11.2833,25.92,74,5,4.51
alice springs,-29.6842,27.61,78,40,3.6
oda,68.0531,-9.62,92,99,11.72
hirara,-37.65,30.3,40,0,1.24
peterhead,41.1415,-5,72,0,1.34
sisimiut,-8.6136,23.13,56,60,1.3
balod,-6.7221,29.37,63,12,2.65
barranca,-5.5502,29.84,70,100,2.27
lagoa,-8.7676,30.45,68,13,4.37
kamen-rybolov,-28.7667,33.23,14,0,4.12
envira,49.5833,4.99,87,100,1.03
tari,-23.865,24.02,86,75,7.74
chokurdakh,41.4414,-4.14,74,0,3.09
tigre,-24.8716,18.48,60,98,3.23
calvinia,-3.945,28.66,73,70,0.92
gombong,48.5669,-11.62,93,100,5.28
ormara,38.7333,14.14,94,75,2.29
skelleftea,-30.1391,31.23,64,20,5.66
talnakh,-15.7167,25.01,88,40,4.12
udaipura,-37.8811,23.42,56,0,2.59
narwar,22.6714,21.14,92,75,1.03
kawalu,39.5108,3.06,52,3,4.21
coolum beach,19.3003,12.08,94,20,0
samalaeulu,-32.55,30.06,45,0,2.03
solnechnyy,-5.1989,27.5,75,0,4.54
pauini,63.7506,-16.28,65,100,0.89
muros,46.8436,3.89,94,5,4.16
elk river,0.5333,28.37,65,97,6.32
louisbourg,41.1231,-4.59,57,100,1.78
keti bandar,-35.3333,14.48,92,0,5.16
point fortin,-16.6228,22.51,87,99,3.31
severomuysk,5.6639,27.42,64,72,1.52
marovoay,47.4667,-19.89,81,57,1.26
bubaque,-43.5333,16.22,87,100,2.06
santa maria,35.6003,-2.26,76,100,1.05
ostrovnoy,46.4083,4.54,70,100,5.66
kamenskoye,-45.8742,16,61,3,4.47
healesville,-16.8392,21.29,98,100,2.81
westport,54.3708,-26.5,100,98,0.91
ruteng,61.67,-19.91,100,98,0.26
toliary,9.4667,20.82,27,12,1.96
lae,57.8,-19.6,95,96,1.41
kimbe,39.3558,9.46,72,35,5.99
auki,16.1525,18.49,72,87,4.62
geraldton,37.9281,-4.93,49,86,0.37
havre,42.8,-5.09,55,0,1.72
inhambane,28.3167,4.23,92,100,2.6
kendallville,53.4927,-19.3,100,70,0.55
ramotswa,-8.8389,23.16,97,96,0.48
kendari,22.2855,18.35,84,97,5.36
amos,41.7597,-4.76,60,12,2.25
praia da vitoria,10.1483,27.75,69,5,6.05
ipanema,53.8409,-17.31,99,100,1.17
mahajanga,28.2211,0.58,34,0,1.6
lakes entrance,49.9333,-23.21,99,100,0.65
pingtung,-41.8697,13.16,95,100,10.91
dyadkovskaya,-29.522,8.87,73,98,0.95
balkanabat,35.174,14.14,77,75,3.6
mae hong son,-20.2333,26.8,79,47,6.78
mandurah,34.6391,18.56,42,0,4.63
rungata,19.75,13.18,24,0,3.8
touros,13.2833,23.34,71,0,5.7
iqaluit,-33.6971,23.94,94,100,1.35
challans,52.6992,5.16,94,100,0.89
thinadhoo,42.2952,1.57,67,0,1.26
aksu,60.3964,8.95,89,84,10.73
constitucion,62.1564,6.51,87,100,8.75
camana,12.1191,27.6,72,91,5.5
puerto ayacucho,40.4272,1.4,86,75,1.03
zaysan,40.1667,-1.82,58,0,4.12
christchurch,14.9215,22.3,83,75,6.17
linxia,42.975,-6.47,68,20,1.54
miles city,47.26,-1.94,91,100,3.58
dunedin,36.2946,-1.74,87,100,4.63
mocuba,13.35,26.27,12,51,3.99
idrinskoye,49.5464,-11.89,98,100,1.43
baykit,4.095,21.81,45,93,0.33
numan,16.7333,20.22,93,4,0.75
tigil,63.2909,-0.47,100,40,4.12
peniche,63.8986,-27.55,99,63,2.17
wagar,63.1906,-16.72,98,100,0.9
wuwei,-5.14,27.03,89,20,1.54
hami,-31.95,28.84,30,100,7.72
jishou,55.6821,-24.46,100,88,0.63
zudilovo,22.0383,16.99,86,2,2.32
manoel urbano,41.3975,-9.69,67,2,2
marcona,-33.0393,16.77,82,0,5.88
victoria,5.3833,24.68,85,100,2.92
korla,49.2918,-2.45,87,89,1.79
nicoya,62.6667,-36.38,100,97,0.5
tukan,25.2867,11.97,69,0,3.6
khash,-20.6964,19.13,92,0,1.65
dauriya,34.6667,6.17,61,100,0.78
ancud,22.8333,14.14,65,0,3.06
thaba-tseka,-10.0681,22.39,83,6,4.18
nador,54.7804,1.18,80,100,1.54
poum,51.4,-22.93,95,14,1.81
lompoc,11.6667,21.02,100,20,0
agadez,45.5919,-14.72,82,100,0
chateaubelair,52.6333,-11.18,95,82,3.75
chuy,54.8097,-18.45,99,100,0.73
dalen,65.5833,-18.94,99,100,2.36
mys shmidta,37.4636,17.33,39,0,2.06
civita castellana,18.8003,23.38,85,50,2.2
brae,8.748,27.95,74,20,4.12
vestmanna,70.3705,-1.35,83,100,18.05
panlaitan,38.8876,-3.54,66,0,1.85
komsomolskiy,43.3236,-6.76,75,18,3.34
vermilion,-32.6259,22.67,82,100,4.33
praya,30.0474,9.67,41,100,2.06
kushiro,-2.9667,22.54,95,67,1.67
aksay,10.9995,27.13,76,53,4.45
elizabeth city,-13.8745,31.88,70,100,2.95
nioro,-0.7193,26.21,85,17,4.99
novopskov,64.75,-18.62,84,75,1
yei,47.35,-16.08,86,16,0.71
yanam,54.7169,-4.27,97,100,1.88
ornskoldsvik,-8.7619,24.03,94,20,0
kysyl-syr,24.0934,9.82,42,0,4.5
igrim,-40.8135,23.56,39,0,3.46
makasar,18.7333,28.71,83,9,0.95
broken hill,35.8419,9.34,100,75,5.66
novoseleznevo,9.9022,23.7,23,2,3.81
harindanga,13.5928,32.19,75,0,2.4
yebaishou,-20.7333,28.87,65,75,3.09
valparaiso,4.8699,25.28,81,0,3.04
sinnamary,24.6877,7.08,27,0,2.83
bardejov,27.9769,17.53,63,0,4.18
khandyga,5.3505,25.13,74,76,8.37
doha,-21.6969,19.95,89,1,1.41
oliveira,-43.3002,22.16,35,23,13.57
shimoda,29.1614,9.27,66,4,1.86
mahemdavad,5.5577,25.62,82,45,2.03
huarmey,50.9167,3.09,97,100,1.82
smithers,51.226,-21.68,100,90,1.39
svobodnyy,41.8825,5.28,43,0,8.59
port blair,48.9329,7.24,89,100,0.83
sauk rapids,28.0667,12.15,77,98,1.32
svetlogorsk,64.5011,-13.96,85,40,0
zhigalovo,-35.35,21.51,65,67,2.72
lavrentiya,38.4681,-2.34,54,29,0.63
half moon bay,63.4564,-19.26,100,77,1.67
mutsamudu,-2.0226,28.31,75,100,3.2
wanning,-2.9248,25.77,82,99,4.12
monteria,-2.65,24.28,89,7,2.98
vardo,66.3167,-24.97,96,100,4.85
mayo,-1.1439,17.41,81,95,0.99
nemuro,49.4867,-16.76,97,100,0.57
bell ville,62.7084,-22.13,100,99,1.6
viligili,4.1363,24.98,83,63,1.72
kerrville,48.3833,5.08,87,100,4.12
paragominas,-14.4086,25.71,72,44,0.55
dingle,66.4167,-25.41,99,42,1.8
lufilufi,18.217,24.92,71,0,7.67
port-gentil,36.8197,1.92,79,100,10.49
anadyr,53.8251,-23.99,70,0,3.09
dolinsk,60.8156,-19.01,84,100,3.09
burica,29.2747,-5.11,85,16,3.01
athabasca,-3.2778,25.46,78,49,2.4
porto velho,28.963,15.99,77,20,1.03
aswan,69.6496,3.48,60,75,3.13
viedma,-13.8483,28.93,89,100,0
coahuayana,-21.6667,24.99,77,100,3.89
marsaxlokk,13.1667,19.43,88,12,1.15
wawa,61.3614,-11.84,97,100,1.1
acajutla,16.7001,19.81,81,61,0.61
mount isa,14.2,13.37,15,93,2.81
axim,-0.1303,23.13,98,100,1.12
riyadh,-36.2333,19.87,68,0,5.14
guerrero negro,54.3663,-26.85,100,64,0.4
umzimvubu,64.0019,-20.84,99,10,1.49
hobyo,52.4201,-24.29,95,100,2.73
tres coracoes,62.2743,-0.25,96,100,5.78
rawson,29.0605,14.12,77,20,1.03
waddan,-13.4584,16.5,96,98,2.65
banda aceh,43.2167,-3.04,85,0,6.69
mrirt,3.7833,26.92,66,100,3.83
biedenkopf,20.8947,26.23,70,40,9.77
saint-augustin,34.4816,3.77,65,0,4.13
vieste,33.6671,3.63,57,0,1.96
ucluelet,51.4668,-5.99,86,100,2.06
pasighat,78.2186,-0.09,59,20,8.23
nome,-15.4311,23.06,84,72,1.9
ulladulla,59.3567,-5.66,93,100,1.54
yinchuan,21.4612,25.79,68,3,5.49
koslan,59.1167,-20.82,94,74,1.7
lorengau,46.084,-1.23,69,16,3.83
itarema,68.5646,4.38,73,100,13.38
gamba,42.2068,13.91,18,0,4.12
egvekinot,-0.8833,27.38,79,100,0.79
nsunga,14.35,27.4,76,40,1.54
darhan,31.5,8.53,68,1,5.93
troitsko-pechorsk,50.8145,4.65,83,6,0.45
meulaboh,59.7,-20.94,82,16,3.06
plouzane,20.5022,18.23,16,100,4.73
diamantino,17.8333,18.08,85,100,2.68
udachnyy,17.0151,19.05,6,0,4.63
the valley,42.0311,-3.71,48,26,0.74
solovetskiy,40.2415,-6.23,55,0,0
methoni,17.8815,24.38,83,6,2.61
the pas,13.1809,20.11,23,53,5.69
hay river,18.9048,17.09,18,95,5.26
palabuhanratu,41.8069,-7.63,86,94,0.94
jumla,37.9272,-4.88,77,7,1.54
trairi,55.5258,-13.58,97,100,0.84
arrecife,49.2167,-14.25,75,8,0.18
tromso,-25.6676,15.56,69,24,3.45
alyangula,18.6853,14.33,21,81,4.04
beroroha,35.1333,5.91,53,100,3.38
lahij,-0.7167,25.56,88,41,3.72
sovetskiy,34.9833,6.53,56,100,2.63
khao wong,43.0369,-0.98,93,75,2
kutum,8.0086,25.11,90,94,1.89
sao gabriel da cachoeira,-22.4333,26.35,73,100,10.12
cooma,52.3989,4.38,95,82,0.89
poltavka,56.9064,-24.86,84,17,0.47
karpogory,-14.0678,16.26,93,16,3.51
imeni poliny osipenko,-1.5746,24.48,90,98,2.54
zachagansk,-2.95,20.66,97,100,1.17
kristiinankaupunki,62.55,-33.55,99,21,2.28
teguise,22.2025,21.44,91,96,2.75
kasempa,49.4983,2.31,99,100,3.16
varna,43.801,-10.47,86,75,3
mahibadhoo,15.8,24.13,87,1,3.26
kahului,12.5579,25.32,25,0,1.03
rawah,28.6585,14.51,85,0,3.13
hope,65.9667,-10.61,95,100,4.37
kindersley,32.31,0.21,24,0,0.07
longyearbyen,-7.4706,26.33,76,7,3.45
acari,39.4883,3.01,87,6,1.05
paldiski,20.5169,22.3,15,99,4.05
cockburn town,6.4965,26.9,84,0,1.07
palana,-37.3217,18.5,67,100,5.81
lazurne,67.4667,-9.25,95,100,4.18
stokmarknes,14.35,21.44,73,26,0.34
altamont,4.9333,25.05,90,100,0.45
ust-bolsheretsk,66.1451,-17.23,95,100,2.8
sorong,27.2333,9.72,52,100,2.84
san pedro,62.6683,-28.24,98,100,0.73
gasa,-22.9575,22.53,83,94,6.17
worthing,37.8,15.15,97,75,2.57
arman,-10.1667,28.32,89,75,6.17
adrar,63.6445,-19.53,99,70,1.69
playa vicente,35.6127,-2.65,92,40,0
salalah,52.6683,-0.12,85,100,4.8
akhmeta,34.5686,0.66,83,100,0.91
lansdale,13.3154,16.99,17,0,4.32
morant bay,6.0577,28.28,74,97,2.13
rabak,49.4305,-3.73,94,100,6.61
araouane,55.7028,-4.1,86,75,3
linjiang,18.3851,10.29,44,100,2.04
kurtalan,12.5751,26.12,80,52,6.33
pokosnoye,42.8713,-6.05,86,100,3.09
